Census Year,Neighborhood,Area Code,Geo Name,Latitude,Longitude,Household Average Income,Household Median Icome,Average Income Male,Average Income Female,Median Income - Total,Median Income Male,Median Income Female,Median Dwelling Value,Average Dwelling Value
2016,Thorncliffe Park,55.0,M4H,43.707749211900000,-79.3499836075,53205.0,43945.0,28806.0,24695.0,19115,20519.0,18178.0,274683.0,324570.0
2016,Danforth ,66.0,M4J,43.6840254743,-79.32981940890000,99966.0,72720.0,57799.0,47289.0,33899,36402.0,31788.0,749802.0,751985.0
2016,Broadview North ,57.0,M4K,43.688825119200000,-79.3556295118,108472.0,65948.0,69910.0,53329.0,37297,40108.0,34732.0,898565.0,951919.0
2016,The Beaches,63.0,M4L,43.671049993100000,-79.2996013043,115346.0,81014.0,70777.0,54683.0,40227,44778.0,36837.0,752621.0,818032.0
2016,South Riverdale,70.0,M4M,43.649292063500000,-79.335651321,99907.0,75412.0,59333.0,49909.0,35272,37626.0,32966.0,699144.0,707998.0
2016,Bridle Path-Sunnybrook-York Mills,41.0,M4N,43.72842,-79.38713,407478.0,137758.0,336921.0,99596.0,61680,80989.0,49652.0,1599198.0,1951263.0
2016,Mount Pleasant East,99.0,M4P,43.71276,-79.38851,96332.0,61036.0,76665.0,52776.0,40888,44621.0,37856.0,798823.0,895279.0
2016,Lawrence Park South ,103.0,M4R,43.717212,-79.406039,220031.0,94208.0,168296.0,81117.0,52928,61369.0,46805.0,1299171.0,1444268.0
2016,Mount Pleasant West ,104.0,M4S,43.70443517060000,-79.393359554,112210.0,75520.0,82080.0,60710.0,48805,53870.0,45188.0,851388.0,882804.0
2016,Rosedale-Moore Park,98.0,M4T,43.69069,-79.38295,275751.0,96571.0,224413.0,117069.0,60356,72704.0,54016.0,1398897.0,1551655.0
2016,Casa Loma ,96.0,M4V,43.6818521005,-79.4080066472,258550.0,85487.0,244819.0,95015.0,54838,61675.0,50590.0,1344811.0,1525393.0
2016,Rosedale-Moore Park,98.0,M4W,43.682820425300000,-79.3796694025,359331.0,101146.0,336766.0,97723.0,59097,72448.0,50102.0,1002427.0,1603755.0
2016,Cabbagetown-South St.James Town ,71.0,M4X,43.667647727400000,-79.36610665810000,65064.0,40291.0,46161.0,32742.0,23366,25135.0,21709.0,897798.0,873003.0
2016,North St.James Town ,74.0,M4Y,43.6696234081,-79.3752465775,70100.0,52167.0,54495.0,43080.0,35879,39898.0,31325.0,439826.0,501891.0
2016,Moss Park ,73.0,M5A,43.6565176231,-79.3672970317,79729.0,52623.0,57148.0,47230.0,31192,31973.0,30474.0,450411.0,573259.0
2016,Church-Yonge Corridor ,75.0,M5B,43.6596488635,-79.3790171666,70704.0,49856.0,52369.0,39597.0,29967,35300.0,24800.0,500104.0,536705.0
2016,Church-Yonge Corridor,75.0,M5C,43.65121,-79.37548,116753.0,83872.0,96769.0,60607.0,56277,60864.0,51328.0,419864.0,497454.0
2016,Waterfront Communities-The Islands,77.0,M5E,43.64516,-79.37368,127243.0,89969.0,104159.0,64881.0,60358,69325.0,53043.0,549317.0,614384.0
2016,Bay Street Corridor,76.0,M5G,43.6575113467,-79.3857212509,67040.0,49696.0,49936.0,39859.0,28422,35136.0,23872.0,499849.0,517636.0
2016,Bay Street Corridor,76.0,M5H,43.6497,-79.38258,165070.0,86101.0,152276.0,70806.0,55117,65638.0,48000.0,501119.0,682383.0
2016,Waterfront Communities-The Island,77.0,M5J,43.6338803623,-79.3772023146,117701.0,85077.0,91146.0,62607.0,55508,62771.0,49480.0,469740.0,569780.0
