,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
68,Lawrence Park North,105,M5M,Central Toronto,14607,14540,0.5,2.3,6350.869565217392,0.04,0.017391304347826087,78,52.03,7945,165131,980,505,790,980831,,1215,4240,1260,3.365079365079365,695,1950,2600,935,295,1290,9755,7000,8660,765,1,21,3,28,4,13,3,0,0,-79.40397836359999,43.73006017229999,5.939714529676439,6.3561988672120835,73
69,Lawrence Park South,103,M4R,Central Toronto,15179,15075,0.7,3.2,4743.4375,0.19,0.059375,72,37.53,8365,216754,930,625,784,1215390,,1315,4010,1665,2.4084084084084085,755,1930,2610,900,430,1230,10345,7880,9510,905,6,19,0,45,2,20,1,0,0,-79.40603941020001,43.71721170479999,5.607232161805549,7.471607890017933,93
70,Leaside-Bennington,56,M4G,East York,16828,17010,-1.1,4.8,3505.8333333333335,0.8,0.16666666666666669,77,40.94,9145,158847,930,635,791,1071823,,1415,4780,1770,2.7005649717514126,1210,2675,2025,960,550,1158,11510,7665,9880,1130,6,19,2,33,7,4,2,0,11,-79.3660723439,43.7037966281,6.747518051961951,6.943685073810825,84
71,Little Portugal,84,M6J,West Toronto,15559,12055,29.1,1.2,12965.833333333334,0.02,0.016666666666666666,88,37.58,10650,74372,2030,685,727,514960,,3130,2475,2825,0.8761061946902655,1060,2975,2810,1170,960,997,12665,5840,8490,3040,18,96,12,39,8,13,3,1,2,-79.4303227131,43.6475359304,6.92411122465444,6.431924882629109,192
72,Long Branch,19,M8W,Etobicoke,10084,9630,4.7,2.3,4384.347826086957,0.32,0.1391304347826087,72,28.08,6160,77549,1520,440,724,459088,,1700,2270,2245,1.0111358574610245,770,1420,1450,670,970,922,7670,2585,5060,1455,4,48,2,28,6,14,0,0,0,-79.5333454492,43.592361688500006,5.919973178248592,7.142857142857142,102
73,Malvern,132,M1B,Scarborough,43794,45085,-2.9,8.9,4920.6741573033705,0.69,0.07752808988764044,61,38.63,22260,64497,11490,2335,724,256488,,4790,9510,3900,2.4384615384615387,2520,4485,4555,2360,5300,958,29410,7230,16960,7380,14,228,16,65,54,36,7,4,1,-79.22251661899999,43.8036581967,3.976743104330434,10.489667565139262,425
74,Maple Leaf,29,M6L,North York,10111,10195,-0.8,2.5,4044.4,0.17,0.068,66,14.42,5145,68718,1770,415,721,540741,,1005,1990,1565,1.2715654952076678,570,1340,1185,600,895,936,7460,1580,3590,2550,2,32,1,17,4,14,0,0,1,-79.48075801739999,43.7155739408,7.868986291801275,8.066083576287658,71
75,Markland Wood,12,M9C,Etobicoke,10554,10435,1.1,2.9,3639.3103448275865,0.22,0.07586206896551724,69,7.99,5445,100337,990,335,783,505350,,1060,3280,1090,3.0091743119266057,865,1350,1000,665,795,1112,8215,3525,5790,1015,2,23,1,18,8,13,2,0,0,-79.57343154739999,43.6335417462,5.0365269043323995,6.152433425160698,67
76,Milliken,130,M1V,Scarborough,26572,27160,-2.2,9.4,2826.808510638298,0.51,0.05425531914893617,65,25.25,12195,66372,8330,1160,770,387879,,3010,6785,1000,6.785,1210,3100,2685,1110,2345,934,20090,4635,8940,5675,12,62,0,67,25,34,11,0,2,-79.2750089244,43.8206907942,5.844015548725366,9.51209512095121,213
77,Mimico,17,M8Y,Etobicoke,33964,26550,28.0,6.9,4922.31884057971,0.72,0.10434782608695652,71,21.59,21160,87901,4390,1305,741,429941,,7080,7490,6185,1.2109943411479385,1780,4330,5620,3185,3050,1009,27660,11520,19855,3345,24,206,17,47,8,33,14,1,1,-79.5001366364,43.615923861300004,4.891195777067383,6.1672967863894135,351
78,Morningside,135,M1E,Scarborough,17455,17585,-0.8,5.6,3116.964285714286,1.85,0.3303571428571429,53,6.67,8760,66024,4580,995,711,289646,,2090,3560,2300,1.5478260869565217,765,1750,1840,1100,2010,857,12005,3220,7480,2405,14,136,8,19,12,13,0,0,2,-79.2070411878,43.782398614499996,4.386980491942324,11.358447488584474,204
79,Moss Park,73,M5A,Downtown Toronto,20506,16310,25.8,1.4,14647.142857142859,0.1,0.07142857142857144,95,42.76,12325,87222,5120,845,709,457524,,4615,3335,5695,0.5856014047410009,1945,4430,2440,775,835,795,16990,8465,11940,1625,174,383,39,129,112,16,12,3,5,-79.3672970317,43.6565176231,5.245511453532366,6.855983772819473,873
80,Mount Dennis,115,M6M,York,13593,13150,3.4,2.1,6472.857142857142,0.67,0.3190476190476191,59,29.91,6905,57386,3770,745,680,273418,,2125,2470,2410,1.0248962655601659,420,1195,1635,1000,1680,896,9495,1650,4665,2855,20,83,7,30,24,14,0,0,6,-79.4999890581,43.6881440868,4.764541874324748,10.789283128167995,184
81,Mount Olive-Silverstone-Jamestown,2,M9V,Etobicoke,32954,32790,0.5,4.6,7163.913043478261,1.05,0.2282608695652174,61,37.57,14765,57411,11540,1785,687,251119,,3715,4540,5070,0.8954635108481263,1425,3825,3265,1345,2730,921,20735,4450,10065,6855,24,213,16,34,81,42,3,1,1,-79.58725926460001,43.7468678027,4.374057236418108,12.08940060954961,415
82,Mount Pleasant East,99,M4S,Central Toronto,16775,15980,5.0,3.1,5411.290322580645,0.09,0.029032258064516127,88,50.4,9720,133977,1210,670,777,815247,,2185,4400,2970,1.4814814814814814,895,2355,2770,1100,640,1097,12195,7970,10475,1015,6,20,5,16,3,8,2,0,0,-79.3849239458,43.7048521692,6.0849772722183655,6.893004115226338,60
83,Mount Pleasant West,104,M4S,Central Toronto,29658,28590,3.7,1.3,22813.846153846152,0.05,0.038461538461538464,95,41.6,19780,89797,4740,1330,753,520032,,7290,4555,13020,0.3498463901689708,1725,4655,6380,2295,1680,1148,25185,14915,20575,1725,10,91,8,38,5,4,6,1,0,-79.393359554,43.70443517060001,5.791195696960923,6.7239635995955505,163
84,New Toronto,18,M8V,Etobicoke,11463,10890,5.2,3.5,3275.1428571428573,0.59,0.16857142857142857,79,24.84,6460,70398,2410,565,719,460811,,2105,2160,3005,0.718801996672213,665,1270,1505,885,1215,777,8375,2790,5565,1740,16,82,13,41,15,11,6,1,0,-79.5103580889,43.6005885981,6.545796755589647,8.746130030959751,185
85,Newtonbrook East,50,M2M,North York,16097,10905,-2.0,4.1,3926.09756097561,0.18,0.04390243902439025,64,29.12,8085,84163,4600,710,757,626626,,2945,4210,2015,2.0893300248138957,655,1500,2020,1240,1195,1203,12590,6745,9460,1620,14,70,4,41,7,5,6,1,0,-79.4059374472,43.791535791,7.445385739576774,8.781694495980211,148
86,Newtonbrook West,36,M2M,North York,23831,16425,3.4,4.7,5070.425531914893,0.17,0.03617021276595745,69,26.14,12435,66505,6690,1050,737,557468,,4135,4890,3730,1.3109919571045576,1120,2445,3000,1855,2135,1135,17975,7920,12865,2205,7,120,8,55,14,47,7,0,1,-79.4084928,43.789053,8.382347191940456,8.443908323281061,259
87,Niagara,82,M6K,Downtown Toronto,31180,23050,46.6,3.1,10058.064516129032,0.36,0.11612903225806451,84,34.94,24595,88996,2580,1110,747,398281,,7210,7795,4840,1.6105371900826446,2470,7395,7030,2530,1695,1296,26715,17025,23305,1165,55,206,27,68,16,22,18,1,1,-79.412420401,43.6366808791,4.475268551395568,4.513112421223826,414
88,North Riverdale,68,M4K,East Toronto,11916,21000,-2.3,1.8,6620.0,0.32,0.17777777777777778,90,47.17,7160,114599,1380,380,767,818592,,1305,2945,2200,1.3386363636363636,770,2140,1920,630,430,1057,8845,5185,6845,1250,6,45,9,41,23,6,4,1,1,-79.3512604136,43.671995149,7.143098979921291,5.307262569832402,136
89,North St.James Town,74,M4Y,Downtown Toronto,18615,12195,4.4,0.4,46537.5,0.03,0.075,93,34.03,10845,49005,5860,1125,705,489366,,4195,615,8590,0.07159487776484284,1005,2990,2820,1115,1300,879,14140,6305,10230,1920,28,105,12,52,19,16,9,0,2,-79.3752465775,43.6696234081,9.986042240587695,10.37344398340249,243
90,O'Connor-Parkview,54,M1L,East York,18675,17825,2.6,4.9,3811.224489795918,1.07,0.21836734693877552,67,37.63,9580,73050,3910,970,725,538203,,2830,3600,3805,0.9461235216819974,530,950,1515,980,1005,865,13360,3970,8250,2950,12,118,11,34,20,7,6,0,2,-79.2797083433,43.6974081338,7.367597535934292,10.125260960334028,210
91,Oakridge,121,M6E,Scarborough,13845,18315,0.7,1.8,7691.666666666666,0.25,0.1388888888888889,71,35.43,6150,50793,5890,900,704,347446,,2290,1600,3630,0.44077134986225897,755,2315,3730,1890,1435,730,9430,2950,5470,2330,23,113,12,57,25,11,10,0,1,-79.4397854793,43.6885655593,6.840430768019215,14.634146341463413,252
92,Oakwood Village,107,M4B,York,21210,13505,2.0,2.2,9640.90909090909,0.05,0.022727272727272728,82,41.07,11725,67809,3930,800,713,482040,,3190,4570,3985,1.1468005018820577,830,2020,2195,1490,1550,877,16000,5080,9205,4555,30,110,8,22,18,24,1,0,1,-79.3122277655,43.7068004906,7.1087908684687875,6.823027718550106,214
93,Old East York,58,M4J,East York,9233,21075,1.3,2.3,4014.347826086957,0.29,0.12608695652173912,69,24.76,5115,90478,1120,255,756,581398,,1100,2670,1185,2.2531645569620253,530,1350,1425,705,505,959,6925,2435,4470,1255,2,31,1,25,4,6,2,1,3,-79.3354883594,43.696781271199995,6.425849377749287,4.9853372434017595,75
94,Palmerston-Little Italy,80,M6G,Downtown Toronto,13826,9115,0.6,1.4,9875.714285714286,0.04,0.028571428571428574,95,45.81,9275,94190,1810,630,742,781568,,2380,2650,3590,0.7381615598885793,1060,2810,2255,785,775,1181,11145,6210,8280,1975,9,67,13,39,27,12,6,0,0,-79.41840872739999,43.6591571037,8.29778108079414,6.7924528301886795,173
95,Parkwoods-Donalda,45,M3A,North York,34805,13735,0.5,7.5,4640.666666666667,0.85,0.11333333333333333,63,33.6,18240,74645,7200,1685,731,553698,,4925,5365,7775,0.690032154340836,1755,4135,4105,2135,3130,1114,24535,9410,17085,3860,8,141,9,45,25,24,3,0,0,-79.3301795171,43.755033474499996,7.41775068658316,9.237938596491228,255
96,Pelmo Park-Humberlea,23,M9M,North York,10722,34620,23.1,4.2,2552.8571428571427,0.64,0.15238095238095237,57,21.71,5870,76800,1430,355,735,412618,,1165,2525,450,5.611111111111111,610,1655,1415,660,955,1019,7660,1595,4130,1835,32,50,3,24,10,24,4,1,0,-79.52828220239999,43.7175146009,5.372630208333334,6.047700170357751,148
97,Playter Estates-Danforth,67,M4K,East Toronto,7804,8705,2.0,0.9,8671.111111111111,0.06,0.06666666666666667,90,42.51,4680,112244,870,300,757,842668,,1335,1665,1865,0.8927613941018767,385,1320,1400,435,310,1075,5995,3380,4660,720,6,56,4,24,10,6,3,0,0,-79.3548872857,43.6797004697,7.5074658779088415,6.41025641025641,109
98,Pleasant View,46,M2J,North York,15818,7655,-2.0,3.0,5272.666666666667,0.16,0.05333333333333334,66,22.56,8125,71782,3540,810,767,463859,,1805,4215,1310,3.217557251908397,730,1930,1800,825,1510,1075,11785,4625,7910,2580,4,47,4,32,13,7,2,0,0,-79.33494842520001,43.786981759,6.462051767852665,9.96923076923077,109
99,Princess-Rosethorn,10,M9A,Etobicoke,11051,16145,-1.3,5.2,2125.1923076923076,0.22,0.0423076923076923,48,39.52,5875,144943,950,355,791,971668,,750,3290,595,5.529411764705882,585,1560,1215,875,565,1194,7845,4480,6315,1085,4,25,6,33,20,24,3,1,0,-79.5445592919,43.666050604300004,6.703793905190317,6.042553191489362,116
100,Regent Park,72,M5A,Downtown Toronto,10803,11200,8.0,0.6,18005.0,0.01,0.016666666666666666,88,42.52,5660,51758,5150,545,701,484444,,1950,715,3135,0.22807017543859648,550,1655,1415,500,615,631,7425,3085,4835,1465,12,78,4,25,14,3,2,0,1,-79.3605088051,43.659992142200004,9.359789790950192,9.628975265017669,139
101,Rexdale-Kipling,4,M9W,Etobicoke,10529,10010,0.4,2.5,4211.6,0.24,0.096,58,23.31,5480,69367,2170,600,721,392271,,1185,2010,1935,1.0387596899224807,680,1500,1115,560,875,857,7655,1620,4085,2095,11,57,5,16,15,22,0,0,1,-79.5662284127,43.723725477200006,5.655008865887237,10.948905109489052,127
102,Rockcliffe-Smythe,111,M6N,York,22246,10485,-0.1,5.1,4361.9607843137255,0.55,0.10784313725490198,61,31.87,11215,64271,5160,1030,710,353967,,3185,5250,3650,1.4383561643835616,900,2265,2745,1865,1925,810,16160,2700,7580,5715,37,123,11,37,46,36,3,0,3,-79.4944204513,43.6747904521,5.507413919185947,9.184128399465003,296
103,Roncesvalles,86,M6R,West Toronto,14974,22270,-0.5,1.5,9982.666666666666,0.04,0.02666666666666667,91,44.85,9020,86526,2640,600,741,581425,,2595,3155,3660,0.8620218579234973,840,2130,2380,1095,865,939,11420,5490,8060,2310,28,95,11,38,25,12,3,0,5,-79.4429924472,43.646122994399995,6.719656519427686,6.651884700665188,217
104,Rosedale-Moore Park,98,M4W,Central Toronto,20923,15050,1.4,4.6,4548.478260869566,0.79,0.17173913043478262,84,32.2,11510,249884,1650,695,777,1265389,,3075,5740,4260,1.3474178403755868,1550,3915,2215,700,610,1468,16405,11425,14090,1070,26,78,9,57,13,14,6,0,0,-79.3796694025,43.682820425299994,5.063905652222632,6.038227628149436,203
105,Rouge,131,M1B,Scarborough,46496,20635,1.3,37.6,1236.595744680851,14.27,0.37952127659574464,42,21.95,24645,86997,7770,2010,738,426850,,3910,11260,1805,6.238227146814404,2355,5120,5145,3335,5530,1082,32110,9195,19795,5675,20,124,12,76,29,19,12,0,4,-79.1863434458,43.8212012569,4.9064910284262675,8.15581253804017,296
106,Runnymede-Bloor West Village,89,M6S,West Toronto,10070,45905,4.5,1.6,6293.75,0.01,0.0062499999999999995,81,45.64,5825,114798,720,295,777,666204,,805,2945,865,3.4046242774566475,405,920,1805,1145,505,1083,7145,4165,5665,930,7,30,2,22,11,9,1,0,0,-79.485708182,43.6592688193,5.803271834004077,5.064377682403434,82
107,Rustic,28,M6L,North York,9941,9635,-0.1,2.1,4733.809523809524,0.2,0.09523809523809523,60,16.55,4100,59004,2980,375,692,493442,,1205,1495,2160,0.6921296296296297,340,1010,1075,485,680,740,6730,800,2850,2365,10,46,5,15,6,8,3,0,0,-79.4980914696,43.7116091166,8.362856755474205,9.146341463414634,93
108,Scarborough Village,139,M1M,Scarborough,16724,9950,0.7,3.1,5394.8387096774195,0.29,0.09354838709677418,70,35.48,7540,61631,5500,980,699,356096,,2460,2715,3195,0.8497652582159625,610,1415,1430,1025,1775,833,11175,2935,6325,2830,28,149,13,34,22,9,2,6,1,-79.216812619,43.7386518596,5.7778715256932385,12.9973474801061,264
109,South Parkdale,85,M6K,West Toronto,21849,16615,2.8,2.3,9499.565217391306,0.46,0.2,83,26.84,13135,54454,5660,1125,695,500054,,5600,1105,9485,0.11649973642593568,1130,3115,3655,1595,1690,865,17585,5900,11020,3435,30,204,10,67,33,22,9,1,1,-79.43933783119999,43.6366995242,9.183053586513388,8.564902931100114,377
110,South Riverdale,70,M4M,East Toronto,27876,21245,8.7,9.6,2903.75,2.78,0.2895833333333333,91,45.86,16535,83795,5440,1070,746,537087,,3745,6635,4105,1.6163215590742996,1685,4415,4400,1775,1495,859,21670,9420,14280,4325,44,189,25,145,31,28,20,3,2,-79.335651321,43.649292063500006,6.409535175129781,6.471121862715452,487
111,St.Andrew-Windfields,40,M2L,North York,17812,25640,-0.8,7.3,2440.0,0.54,0.07397260273972603,60,18.23,9255,162988,3350,770,774,1363202,,2170,4290,2180,1.9678899082568808,735,2205,2350,1000,855,1270,12765,7770,10465,1435,7,44,6,57,10,10,4,0,2,-79.4000493,43.7527583,8.363818195204555,8.319827120475418,140
112,Steeles,116,M1W,Scarborough,24623,17955,-1.6,4.6,5352.826086956522,0.45,0.09782608695652174,61,11.36,11035,67732,7570,1045,778,440688,,2915,6585,1095,6.013698630136986,1305,2850,2400,1000,1815,1155,19100,5810,9920,4545,7,36,2,48,13,28,3,0,0,-79.3212070061,43.812958825900004,6.50634855016831,9.469868599909379,137
113,Stonegate-Queensway,16,M8Y,Etobicoke,25051,25010,1.5,7.9,3171.012658227848,0.76,0.09620253164556962,67,31.23,14060,100867,3080,935,760,690949,,2830,6860,3565,1.9242636746143058,1475,3040,3595,2245,1410,996,18835,8490,13555,2750,11,66,3,50,12,12,5,0,1,-79.50112821329999,43.635518132899996,6.85009963615454,6.6500711237553345,160
114,Tam O'Shanter-Sullivan,118,M1T,Scarborough,27446,24690,0.2,5.5,4990.181818181818,0.35,0.06363636363636363,64,41.37,12910,64630,6570,1175,756,411143,,3820,5700,4110,1.3868613138686132,1210,3300,2865,1240,2310,964,20825,6895,12325,4165,7,91,5,60,12,23,7,0,1,-79.3029187122,43.7801298547,6.361488472845428,9.101471727343146,206
115,Taylor-Massey,61,M4C,East York,15683,27390,0.6,1.1,14257.272727272726,0.2,0.18181818181818182,77,38.19,7935,51131,5180,910,721,254151,,2770,2260,4035,0.5600991325898389,420,1045,2305,1615,1285,882,11150,4535,7440,2145,9,88,7,42,16,8,5,1,2,-79.2959011188,43.6949981893,4.970585359175451,11.46817895400126,178
116,The Beaches,63,M4L,East Toronto,21567,15595,2.1,3.6,5990.833333333333,0.61,0.16944444444444443,88,31.53,12710,139757,1760,725,764,751945,,2710,6240,3140,1.9872611464968153,1300,3060,3000,1805,1045,1154,15770,9235,12750,1445,24,73,9,76,13,8,4,0,0,-79.2996013043,43.671049993100006,5.38037450718032,5.704169944925256,207
117,Thistletown-Beaumond Heights,3,M9V,Etobicoke,10360,21135,2.2,3.4,3047.0588235294117,0.94,0.27647058823529413,54,42.26,5060,70838,2350,525,718,414216,,1065,2080,1145,1.8165938864628821,655,1315,1215,485,685,887,7350,1690,3980,1970,7,35,3,23,12,13,1,0,0,-79.56349101720001,43.737987917299996,5.847370055619865,10.375494071146244,94
118,Thorncliffe Park,55,M4H,East York,21108,10140,9.8,3.1,6809.032258064516,0.6,0.1935483870967742,73,34.53,8490,49530,8700,1070,724,313618,,3570,610,6105,0.09991809991809991,1010,1565,1935,1245,1290,1055,13240,5075,8035,2590,20,71,3,24,12,4,11,0,3,-79.3499836075,43.707749211899994,6.3318796688875425,12.603062426383982,148
119,Trinity-Bellwoods,81,M6J,West Toronto,16556,19225,-1.5,1.7,9738.823529411766,0.18,0.10588235294117647,94,35.45,10055,77477,3220,610,742,723909,,2485,3905,2940,1.3282312925170068,1170,3045,2420,855,765,1130,13295,5745,8090,4200,54,133,10,49,20,25,2,1,2,-79.4153421634,43.6501763,9.34353421015269,6.066633515663849,296
120,University,79,M5S,Downtown Toronto,7607,16805,-2.2,1.4,5433.571428571429,0.01,0.0071428571428571435,97,42.62,4405,92815,1530,365,748,773920,,1580,1335,1960,0.6811224489795918,670,1290,955,320,260,1246,5700,3515,4460,650,35,111,20,47,21,13,5,0,1,-79.401179748,43.6625062026,8.338307385659645,8.286038592508513,253
121,Victoria Village,43,M4A,North York,17510,7790,1.9,4.7,3725.531914893617,0.68,0.1446808510638298,71,26.9,8620,65104,4320,870,730,365107,,2820,3085,4205,0.7336504161712247,890,1825,1650,1405,1570,867,13085,3760,7840,2790,10,111,6,19,10,20,4,2,1,-79.31487382649999,43.728489019399994,5.608057876628164,10.092807424593968,183
122,Waterfront Communities-The Island,77,M5J,Downtown Toronto,65913,17180,52.0,7.6,8672.763157894737,2.57,0.3381578947368421,92,31.61,51100,95004,6990,2640,748,416759,,16500,13350,13640,0.9787390029325513,9230,18250,9955,3320,3040,1417,54520,41735,51740,1630,140,712,68,213,63,40,56,0,5,-79.3772023146,43.6338803623,4.386752136752137,5.166340508806262,1297
123,West Hill,136,M1E,Scarborough,27392,43365,3.2,9.6,2853.3333333333335,1.99,0.20729166666666668,66,28.06,13100,65871,7640,1515,706,308229,,3230,5875,3820,1.537958115183246,1015,2455,2575,1740,3275,686,19070,4330,10965,4285,54,325,18,72,56,14,7,0,5,-79.1766760264,43.7674902567,4.679282233456301,11.564885496183207,551
124,West Humber-Clairville,1,M9W,Etobicoke,33312,26550,-2.3,30.09,1107.0787637088733,2.08,0.06912595546693254,57,23.82,17845,72820,7590,1705,719,317508,,3270,7075,3050,2.319672131147541,2325,4650,3955,1615,3010,945,23030,6170,13425,6170,29,259,31,131,82,316,38,3,2,-79.59635645350001,43.7161804033,4.360175775885746,9.55449705799944,891
125,Westminster-Branson,35,M2R,North York,26274,34100,3.3,3.7,7101.081081081081,0.96,0.2594594594594594,61,24.63,14055,62791,6540,1290,730,372380,,4710,4055,6040,0.6713576158940397,915,2725,3515,2030,2725,1095,19890,8485,14430,2550,5,108,7,19,9,24,6,0,2,-79.4524182256,43.7788132165,5.930467742192352,9.178228388473853,180
126,Weston,113,M9N,York,17992,25445,-1.0,2.6,6920.0,0.24,0.0923076923076923,73,41.45,9075,61470,5050,965,679,280187,,3250,3090,4815,0.6417445482866043,715,2015,2225,1105,1745,874,12810,2395,6800,3995,56,169,11,43,35,39,2,4,4,-79.5157225505,43.702716046300004,4.558109646982268,10.633608815426996,363
127,Weston-Pellam Park,91,M6N,West Toronto,11098,18170,-7.6,1.5,7398.666666666667,0.04,0.02666666666666667,75,52.57,5965,66933,2810,505,698,382119,,1300,2590,1810,1.430939226519337,435,1025,1760,950,1010,719,8065,1610,3730,3725,29,67,7,15,11,17,7,1,2,-79.4602439114,43.67396203770001,5.708977634350768,8.466051969823972,156
128,Wexford/Maryvale,119,M1R,Scarborough,27917,12015,3.3,10.2,2736.9607843137255,0.47,0.04607843137254902,67,42.08,14340,69418,5500,1285,735,422689,,3325,6320,3655,1.7291381668946648,1590,3275,3150,2015,2320,904,20365,5305,11710,4790,10,152,10,74,21,40,11,2,1,-79.2986365699,43.7485721411,6.089040306548734,8.960948396094839,321
129,Willowdale East,51,M2N,North York,50434,27020,12.0,5.0,10086.8,0.16,0.032,84,28.9,27075,80607,13330,2300,759,540911,,11140,13515,6120,2.2083333333333335,2050,5430,7290,4175,2830,1453,37850,25095,32650,2675,15,118,16,80,22,44,12,0,2,-79.40148378960001,43.7706022616,6.710471795253514,8.494921514312095,309
130,Willowdale West,37,M2R,North York,16936,45025,12.9,2.9,5840.0,0.15,0.05172413793103448,78,17.67,8610,83632,3050,845,766,541247,,3475,4555,2120,2.1485849056603774,680,1680,2200,1290,1050,1117,13175,7515,10315,1270,6,73,6,35,14,12,2,0,1,-79.4275578,43.771210491800005,6.471769179261527,9.814169570267131,149
131,Willowridge-Martingrove-Richview,7,M9R,Etobicoke,22156,15005,3.8,5.5,4028.3636363636365,0.35,0.06363636363636363,51,30.46,10870,79241,3490,920,750,511637,,2645,4605,3540,1.3008474576271187,1155,3165,2320,1170,1545,1124,16230,5265,9935,3760,6,88,6,32,38,48,4,0,0,-79.5547244,43.6889054,6.456720637043954,8.463661453541858,222
132,Woburn,137,M1H,Scarborough,53485,21345,0.3,12.2,4384.016393442623,1.35,0.11065573770491804,66,27.73,25180,63186,15430,2665,723,316584,,6605,9905,8475,1.168731563421829,2740,5360,5280,2895,5320,840,36600,10860,21370,9140,39,293,32,78,58,31,16,1,5,-79.2285857671,43.766740239300006,5.010350394074637,10.583796664019063,553
133,Woodbine Corridor,64,M4L,East Toronto,12541,53350,7.2,1.6,7838.125,0.1,0.0625,85,29.04,7270,90338,1770,560,749,521549,,1560,3250,1965,1.6539440203562341,530,1450,2145,1095,735,782,9215,4220,6620,1405,8,65,7,51,6,9,6,0,1,-79.3154073786,43.6767729247,5.773306914033961,7.702888583218708,153
134,Woodbine-Lumsden,60,M4C,East York,7865,11705,0.5,1.2,6554.166666666667,0.1,0.08333333333333334,73,27.87,4695,74945,1100,310,748,440700,,1100,2380,1095,2.17351598173516,370,900,1420,915,495,823,6080,2245,3920,1110,9,30,6,14,3,3,5,0,0,-79.3111635266,43.694106742399995,5.8803122289679095,6.602768903088392,70
135,Wychwood,94,M6G,Central Toronto,14349,7825,2.6,1.7,8440.588235294117,0.06,0.03529411764705882,86,40.49,7875,90496,1940,410,745,656868,,2095,2700,2830,0.9540636042402827,585,2020,2355,915,720,930,11560,4775,7230,1970,17,69,9,28,9,18,3,0,1,-79.425514947,43.6769192679,7.258530763790665,5.2063492063492065,154
136,Yonge-Eglinton,100,M5P,Central Toronto,11817,13985,11.7,1.6,7385.625,0.13,0.08125,89,31.95,7320,140907,1100,505,759,975449,,1925,2050,3155,0.6497622820919176,695,1765,2215,795,470,1246,8835,6255,7990,490,35,54,15,19,15,4,2,0,0,-79.4035901675,43.704689367700006,6.922644013427296,6.898907103825136,144
137,Yonge-St.Clair,97,M4V,Central Toronto,12528,10580,7.5,1.2,10440.0,0.02,0.016666666666666666,84,32.65,7710,173751,980,455,771,995616,,2535,2625,4160,0.6310096153846154,780,2265,2195,630,460,1314,10610,6775,8820,340,13,28,4,13,5,7,8,0,0,-79.3978707687,43.687858872,5.73013104960547,5.901426718547341,78
138,York University Heights,27,M3J,North York,27593,11655,-0.4,13.2,2090.378787878788,0.89,0.06742424242424243,60,47.0,14815,59770,7950,1585,698,359372,,4080,4650,5660,0.8215547703180212,1365,3280,3430,1605,3095,911,18885,5555,11420,5490,59,288,27,96,57,106,33,2,3,-79.4888829298,43.765736490900004,6.012581562656851,10.698616267296659,671
139,Yorkdale-Glen Park,31,M6A,North York,14804,27715,0.8,5.9,2509.1525423728813,0.24,0.04067796610169491,72,21.66,7245,70539,2850,580,729,421045,,1645,2965,2280,1.3004385964912282,850,1770,2170,845,805,916,11300,2405,5240,3635,24,139,15,64,19,41,23,1,0,-79.4571080738,43.714671529300006,5.968967521512922,8.005521048999311,326
