,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
16,Bridle Path-Sunnybrook-York Mills,41,M4N,North York,9266,8715,6.3,8.8,1052.9545454545453,1.73,0.19659090909090907,58,22.26,4515,356777,810,360,788,1849084,,740,2805,200,14.025,415,1075,1205,340,190,2388,6480,4795,5635,630,7,18,5,51,1,12,3,0,0,-79.3789041759,43.7310131378,5.182744403366809,7.973421926910299,97
17,Broadview North,57,M4K,East York,11499,11565,-0.6,1.7,6764.117647058823,0.4,0.23529411764705885,74,31.36,6575,67940,2150,540,728,518555,,2275,1915,3695,0.5182679296346414,590,1520,1995,910,590,940,9040,3510,5920,1845,8,45,6,16,9,8,2,0,0,-79.3556295118,43.688825119200004,7.632543420665293,8.212927756653993,94
18,Brookhaven-Amesbury,30,M6M,North York,17757,17785,-0.2,3.5,5073.428571428572,0.41,0.11714285714285713,62,43.1,9105,60364,4780,915,687,352428,,2615,2660,3730,0.7131367292225201,760,1830,2210,1305,1820,893,12005,1920,5925,3825,15,91,9,31,25,29,3,0,1,-79.485589259,43.701326305600006,5.838380491683785,10.049423393739703,204
19,Cabbagetown-South St.James Town,71,M4X,Downtown Toronto,11669,12050,-3.2,1.4,8335.0,0.25,0.17857142857142858,91,43.71,7275,103558,1880,585,744,537025,,2500,2940,3690,0.7967479674796748,900,2470,1700,510,475,976,9960,5105,7370,880,28,96,11,53,16,9,6,0,5,-79.36610665810001,43.667647727399995,5.1857413237026595,8.041237113402062,224
20,Caledonia-Fairbank,109,M6E,York,9955,9855,1.1,1.5,6636.666666666667,0.03,0.02,69,53.48,5550,66257,1720,400,700,400532,,1100,2425,1090,2.2247706422018347,345,1030,1515,1045,1030,941,7295,1160,3320,3045,15,60,7,13,18,13,1,0,0,-79.4552120796,43.688568651000004,6.045127307303379,7.207207207207207,127
21,Casa Loma,96,M4V,Central Toronto,10968,10485,4.6,1.9,5772.631578947368,0.17,0.08947368421052633,80,32.33,6475,188924,950,425,771,1083381,,1980,2225,3095,0.7189014539579968,650,1975,1670,580,220,1494,8820,5920,7460,525,21,27,4,19,1,5,6,0,0,-79.4080066472,43.6818521005,5.734480531854079,6.563706563706563,83
22,Centennial Scarborough,133,M1C,Scarborough,13362,13100,2.1,5.4,2474.4444444444443,0.83,0.15370370370370368,54,9.35,7185,102278,1330,545,774,491024,,765,3965,305,13.0,670,1465,1410,925,1705,1128,9415,4055,7075,1135,1,38,0,18,11,5,1,0,0,-79.1508432723,43.7823764958,4.800876043723968,7.585247042449547,74
23,Church-Yonge Corridor,75,M5B,Downtown Toronto,31340,28345,10.6,1.4,22385.714285714286,0.06,0.04285714285714286,98,33.5,21855,77996,5160,1865,736,410703,,8890,5330,12900,0.4131782945736434,3740,7310,4060,1445,1540,1134,25100,16930,22355,1520,135,466,70,147,108,23,40,3,5,-79.3790171666,43.6596488635,5.265693112467306,8.533516357812857,997
24,Clairlea-Birchmount,120,M1L,Scarborough,26984,24775,8.9,7.4,3646.4864864864862,0.42,0.05675675675675675,69,30.8,14195,69549,5650,1240,741,387912,,3175,5770,2980,1.936241610738255,1355,2580,3510,2655,2305,890,19215,5755,11360,3795,46,215,11,88,30,48,16,1,3,-79.28138178420001,43.713592375,5.577535262908166,8.73547023599859,458
25,Clanton Park,33,M3H,North York,16472,14610,12.7,4.2,3921.904761904762,0.1,0.023809523809523808,63,19.35,9275,89550,2560,565,740,605585,,2235,2925,2610,1.1206896551724137,1095,2255,2410,1220,1090,938,11950,5290,8670,1865,3,57,10,41,7,49,5,1,1,-79.4463025758,43.7419784331,6.762534896705751,6.091644204851752,174
26,Cliffcrest,123,M1M,Scarborough,15935,15700,1.5,7.1,2244.366197183099,1.43,0.20140845070422536,54,25.55,8200,83694,2660,795,748,542218,,1720,4070,1755,2.319088319088319,760,1800,1725,1120,1395,839,11335,3640,7160,2380,18,89,9,57,18,10,3,0,0,-79.2355295687,43.7211211669,6.47857671995603,9.695121951219512,204
27,Corso Italia-Davenport,92,M6H,Central Toronto,14133,13735,2.8,1.9,7438.421052631579,0.13,0.06842105263157895,79,37.94,8310,74367,2120,600,708,502819,,1765,3265,1835,1.779291553133515,530,1545,2610,1340,1215,945,10785,3285,5925,3595,19,57,8,15,25,7,2,0,1,-79.4474693307,43.6776609067,6.7613188645501365,7.2202166064981945,134
