Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
Glenfield-Jane Heights ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Greenwood-Coxwell ,0,0,1,6,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,0
Guildwood ,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Henry Farm ,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
High Park North ,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
High Park-Swansea ,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
Highland Creek ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
Hillcrest Village ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Humber Bay Shores,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Humber Heights-Westmount,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Humber Summit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Humbermede ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Humewood-Cedarvale ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ionview ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Islington-City Centre West ,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
Junction Area ,1,0,4,6,5,0,0,0,2,0,3,1,0,1,1,0,0,0,0,0,1,0,0,8,10,0,2,0
Keelesdale-Eglinton West ,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Kennedy Park ,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kensington-Chinatown ,0,0,8,17,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,2,0,0,28,2,0,0,0
Kingsview Village-The Westway,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsway South ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L'Amoreaux ,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
