Neighborhood,Area Code,Geo Name,Population Change,Longitude,Latitude
Dufferin Grove,83,M6H,2.9,-79.4373410365,43.6554283326
East End-Danforth,62,M4E,2.6,-79.2993586723,43.684173877700000
Edenbridge-Humber Valley,9,M9A,4.0,-79.5224577643,43.6708859094
Eglinton East,138,M1J,-0.2,-79.245598036,43.7409222979
Elms-Old Rexdale,5,M9W,-1.0,-79.54898271650000,43.721518868400000
Englemount-Lawrence,32,M6A,1.3,-79.43740855,43.7203446653
Eringate-Centennial-West Deane,11,M9C,-1.2,-79.5804452375,43.6580167554
Etobicoke West Mall,13,M9C,8.4,-79.5689387722,43.6450626244
Flemingdon Park,44,M3C,-1.1,-79.3326459673,43.715929754000000
Forest Hill North,102,M5N,2.7,-79.42814316480000,43.7042175596
Forest Hill South,101,M5P,-1.8,-79.4143178642,43.694525756400000
Glenfield-Jane Heights,25,M3N,-2.9,-79.5134653159,43.745635749800000
Greenwood-Coxwell,65,M4L,2.4,-79.3243180234,43.6726123109
Guildwood,140,M1E,1.0,-79.1950553496,43.7488293378
Henry Farm,53,M2J,38.7,-79.3412406671,43.7711441425
High Park North,88,M6P,4.1,-79.4663021661,43.6575649139
High Park-Swansea,87,M6S,10.1,-79.46787222430000,43.6450645834
Highland Creek,134,M1C,-4.6,-79.17747247290000,43.7907747688
Hillcrest Village,48,M2H,-4.1,-79.3548039999,43.8029878281
Humber Heights-Westmount,8,M9P,3.4,-79.5224162029,43.6922328007
Humber Summit,21,M9L,-0.9,-79.56596330000000,43.7563033
Humbermede,22,M9M,-1.9,-79.5423671192,43.7434295175
Humewood-Cedarvale,106,M6C,1.8,-79.4276833521,43.6913698124
Ionview,125,M1K,4.2,-79.27247049420000,43.735364407700000
Islington-City Centre West,14,M9B,15.4,-79.5433165354,43.6334633497
Junction Area,90,M6N,2.4,-79.47143987360000,43.6678897668
Keelesdale-Eglinton West,110,M6M,3.9,-79.4714371062,43.6857274725
Kennedy Park,124,M1K,0.4,-79.2603822071,43.725555723200000
Kensington-Chinatown,78,M5T,-3.0,-79.3972398768,43.653554131600000
Kingsview Village-The Westway,6,M9P,1.3,-79.5478633059,43.698992572200000
Kingsway South,15,M8X,1.1,-79.5105768007,43.6535204276
Lambton Baby Point,114,M6S,0.8,-79.4960452553,43.6574201304
L'Amoreaux,117,M1W,-2.1,-79.3140842409,43.7957160278
Lansing-Westgate,38,M2N,10.4,-79.4247477215,43.754271154900000
Lawrence Park North,105,M5M,0.5,-79.40397836360000,43.73006017230000
Lawrence Park South,103,M4R,0.7,-79.40603941020000,43.71721170480000
Leaside-Bennington,56,M4G,-1.1,-79.3660723439,43.7037966281
Little Portugal,84,M6J,29.1,-79.4303227131,43.6475359304
Long Branch,19,M8W,4.7,-79.5333454492,43.592361688500000
Malvern,132,M1B,-2.9,-79.22251661900000,43.8036581967
Maple Leaf,29,M6L,-0.8,-79.48075801740000,43.7155739408
Markland Wood,12,M9C,1.1,-79.57343154740000,43.6335417462
Milliken,130,M1V,-2.2,-79.2750089244,43.8206907942
Mimico (includes Humber Bay Shores),17,M8Y,28.0,-79.5001366364,43.615923861300000
Morningside,135,M1E,-0.8,-79.2070411878,43.782398614500000
Moss Park,73,M5A,25.8,-79.3672970317,43.6565176231
Mount Dennis,115,M6M,3.4,-79.4999890581,43.6881440868
Mount Olive-Silverstone-Jamestown,2,M9V,0.5,-79.58725926460000,43.7468678027
Mount Pleasant East,99,M4S,5.0,-79.3849239458,43.7048521692
Mount Pleasant West,104,M4S,3.7,-79.393359554,43.70443517060000
New Toronto,18,M8V,5.2,-79.5103580889,43.6005885981
Newtonbrook East,50,M2M,-2.0,-79.4059374472,43.791535791
Newtonbrook West,36,M2M,3.4,-79.40849280000000,43.789053
Niagara,82,M6K,46.6,-79.412420401,43.6366808791
North Riverdale,68,M4K,-2.3,-79.3512604136,43.671995149
