,Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
42,Flemingdon Park ,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,1,0,0,5,0,0,0,0
43,Forest Hill North ,0,1,0,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4,1,1,0,0
44,Forest Hill South ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
45,Glenfield-Jane Heights ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
46,Greenwood-Coxwell ,0,0,1,6,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,0
47,Guildwood ,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Henry Farm ,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,High Park North ,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
50,High Park-Swansea ,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
51,Highland Creek ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
52,Hillcrest Village ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
53,Humber Bay Shores,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
54,Humber Heights-Westmount,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,Humber Summit ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Humbermede ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
57,Humewood-Cedarvale ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
58,Ionview ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
59,Islington-City Centre West ,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
60,Junction Area ,1,0,4,6,5,0,0,0,2,0,3,1,0,1,1,0,0,0,0,0,1,0,0,8,10,0,2,0
61,Keelesdale-Eglinton West ,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
62,Kennedy Park ,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,Kensington-Chinatown ,0,0,8,17,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,2,0,0,28,2,0,0,0
64,Kingsview Village-The Westway,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kingsway South ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,L'Amoreaux ,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
67,Lambton Baby Point ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
68,Lansing-Westgate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,Lawrence Park North ,1,2,2,7,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,3,0,1,0
