,Neighborhood,Area Code,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Owned,Rented,Own Rent Ratio,Population Change,Latitude,Longitude,Geo Name
38,Elms-Old Rexdale,5,365.0,1325.0,965.0,540.0,845.0,1910.0,1315.0,1.4524714828897338,-1.0,43.721518868400004,-79.54898271649999,M9W
39,Englemount-Lawrence,32,1465.0,2065.0,2710.0,1550.0,1140.0,3445.0,4690.0,0.7345415778251599,1.3,43.7203446653,-79.43740855,M6A
40,Eringate-Centennial-West Deane,11,1405.0,2825.0,1865.0,1010.0,1540.0,5840.0,1060.0,5.509433962264151,-1.2,43.6580167554,-79.5804452375,M9C
41,Etobicoke West Mall,13,930.0,1560.0,1170.0,725.0,1170.0,2250.0,1790.0,1.2569832402234637,8.4,43.6450626244,-79.5689387722,M9C
42,Flemingdon Park,44,1070.0,1880.0,2000.0,1615.0,1825.0,3755.0,4280.0,0.8773364485981309,-1.1,43.715929753999994,-79.3326459673,M3C
43,Forest Hill North,102,740.0,1755.0,2255.0,910.0,625.0,1850.0,3485.0,0.5308464849354376,2.7,43.7042175596,-79.42814316479999,M5N
44,Forest Hill South,101,655.0,1960.0,1395.0,440.0,370.0,2635.0,2160.0,1.2199074074074074,-1.8,43.694525756400004,-79.4143178642,M5P
45,Glenfield-Jane Heights,25,1250.0,3285.0,3040.0,1505.0,2475.0,4950.0,5055.0,0.9792284866468842,-2.9,43.745635749799995,-79.5134653159,M3N
46,Greenwood-Coxwell,65,700.0,1855.0,2330.0,1100.0,900.0,3715.0,2285.0,1.62582056892779,2.4,43.6726123109,-79.3243180234,M4L
47,Guildwood,140,415.0,865.0,1095.0,675.0,1115.0,3095.0,860.0,3.5988372093023258,1.0,43.7488293378,-79.1950553496,M1E
48,Henry Farm,53,730.0,1795.0,1915.0,1240.0,1580.0,1450.0,2650.0,0.5471698113207547,38.7,43.7711441425,-79.3412406671,M2J
49,High Park North,88,770.0,2510.0,4560.0,2315.0,1185.0,3605.0,7000.0,0.515,4.1,43.6575649139,-79.4663021661,M6P
50,High Park-Swansea,87,1065.0,3025.0,4445.0,2275.0,1145.0,5975.0,3875.0,1.5419354838709678,10.1,43.6450645834,-79.46787222430001,M6S
51,Highland Creek,134,625.0,1460.0,1450.0,675.0,1510.0,3360.0,445.0,7.550561797752809,-4.6,43.7907747688,-79.17747247289999,M1C
52,Hillcrest Village,48,555.0,1780.0,1615.0,915.0,1565.0,5060.0,1485.0,3.4074074074074074,-4.1,43.8029878281,-79.3548039999,M2H
53,Humber Heights-Westmount,8,360.0,1405.0,1260.0,595.0,740.0,2585.0,1350.0,1.9148148148148147,3.4,43.6922328007,-79.5224162029,M9P
54,Humber Summit,21,675.0,1520.0,1260.0,495.0,1085.0,2745.0,1045.0,2.626794258373206,-0.9,43.7563033,-79.5659633,M9L
55,Humbermede,22,710.0,1985.0,1840.0,785.0,1380.0,2660.0,2455.0,1.0835030549898168,-1.9,43.7434295175,-79.5423671192,M9M
56,Humewood-Cedarvale,106,665.0,2010.0,2905.0,1060.0,800.0,2370.0,4205.0,0.5636147443519619,1.8,43.6913698124,-79.4276833521,M6C
57,Ionview,125,800.0,1235.0,1540.0,1170.0,1345.0,1985.0,3085.0,0.6434359805510534,4.2,43.735364407700004,-79.27247049420001,M1K
58,Islington-City Centre West,14,2695.0,5935.0,5795.0,4265.0,3360.0,9955.0,6290.0,1.582670906200318,15.4,43.6334633497,-79.5433165354,M9B
59,Junction Area,90,765.0,1510.0,2600.0,1700.0,1010.0,3395.0,2355.0,1.4416135881104033,2.4,43.6678897668,-79.47143987359999,M6N
60,Keelesdale-Eglinton West,110,395.0,1075.0,1590.0,815.0,1100.0,2510.0,1470.0,1.7074829931972788,3.9,43.6857274725,-79.4714371062,M6M
61,Kennedy Park,124,780.0,1365.0,2010.0,1595.0,1675.0,3670.0,2870.0,1.278745644599303,0.4,43.725555723199996,-79.2603822071,M1K
62,Kensington-Chinatown,78,2075.0,3165.0,1810.0,610.0,740.0,2655.0,5975.0,0.44435146443514645,-3.0,43.653554131599996,-79.3972398768,M5T
63,Kingsview Village-The Westway,6,1225.0,2815.0,2155.0,970.0,1675.0,3975.0,3675.0,1.0816326530612246,1.3,43.698992572200005,-79.5478633059,M9P
64,Kingsway South,15,415.0,860.0,1390.0,730.0,320.0,2965.0,535.0,5.542056074766355,1.1,43.6535204276,-79.5105768007,M8X
65,Lambton Baby Point,114,285.0,770.0,1215.0,745.0,455.0,10125.0,4790.0,2.113778705636743,0.8,43.6574201304,-79.4960452553,M6S
66,L'Amoreaux,117,1850.0,4815.0,4660.0,2325.0,4055.0,1920.0,1240.0,1.5483870967741935,-2.1,43.7957160278,-79.3140842409,M1W
67,Lansing-Westgate,38,1000.0,1835.0,2410.0,1410.0,930.0,3525.0,2460.0,1.4329268292682926,10.4,43.754271154899996,-79.4247477215,M2N
68,Lawrence Park North,105,695.0,1950.0,2600.0,935.0,295.0,4240.0,1260.0,3.365079365079365,0.5,43.73006017229999,-79.40397836359999,M5M
69,Lawrence Park South,103,755.0,1930.0,2610.0,900.0,430.0,4010.0,1665.0,2.4084084084084085,0.7,43.71721170479999,-79.40603941020001,M4R
70,Leaside-Bennington,56,1210.0,2675.0,2025.0,960.0,550.0,4780.0,1770.0,2.7005649717514126,-1.1,43.7037966281,-79.3660723439,M4G
71,Little Portugal,84,1060.0,2975.0,2810.0,1170.0,960.0,2475.0,2825.0,0.8761061946902655,29.1,43.6475359304,-79.4303227131,M6J
72,Long Branch,19,770.0,1420.0,1450.0,670.0,970.0,2270.0,2245.0,1.0111358574610245,4.7,43.592361688500006,-79.5333454492,M8W
73,Malvern,132,2520.0,4485.0,4555.0,2360.0,5300.0,9510.0,3900.0,2.4384615384615387,-2.9,43.8036581967,-79.22251661899999,M1B
74,Maple Leaf,29,570.0,1340.0,1185.0,600.0,895.0,1990.0,1565.0,1.2715654952076678,-0.8,43.7155739408,-79.48075801739999,M6L
75,Markland Wood,12,865.0,1350.0,1000.0,665.0,795.0,3280.0,1090.0,3.0091743119266057,1.1,43.6335417462,-79.57343154739999,M9C
76,Milliken,130,1210.0,3100.0,2685.0,1110.0,2345.0,6785.0,1000.0,6.785,-2.2,43.8206907942,-79.2750089244,M1V
77,Mimico (includes Humber Bay Shores),17,1780.0,4330.0,5620.0,3185.0,3050.0,7490.0,6185.0,1.2109943411479385,28.0,43.615923861300004,-79.5001366364,M8Y
78,Morningside,135,765.0,1750.0,1840.0,1100.0,2010.0,3560.0,2300.0,1.5478260869565217,-0.8,43.782398614499996,-79.2070411878,M1E
79,Moss Park,73,1945.0,4430.0,2440.0,775.0,835.0,3335.0,5695.0,0.5856014047410009,25.8,43.6565176231,-79.3672970317,M5A
80,Mount Dennis,115,420.0,1195.0,1635.0,1000.0,1680.0,2470.0,2410.0,1.0248962655601659,3.4,43.6881440868,-79.4999890581,M6M
81,Mount Olive-Silverstone-Jamestown,2,1425.0,3825.0,3265.0,1345.0,2730.0,4540.0,5070.0,0.8954635108481263,0.5,43.7468678027,-79.58725926460001,M9V
82,Mount Pleasant East,99,895.0,2355.0,2770.0,1100.0,640.0,4400.0,2970.0,1.4814814814814814,5.0,43.7048521692,-79.3849239458,M4S
83,Mount Pleasant West,104,1725.0,4655.0,6380.0,2295.0,1680.0,4555.0,13020.0,0.3498463901689708,3.7,43.70443517060001,-79.393359554,M4S
84,New Toronto,18,665.0,1270.0,1505.0,885.0,1215.0,2160.0,3005.0,0.718801996672213,5.2,43.6005885981,-79.5103580889,M8V
85,Newtonbrook East,50,655.0,1500.0,2020.0,1240.0,1195.0,4210.0,2015.0,2.0893300248138957,-2.0,43.791535791,-79.4059374472,M2M
86,Newtonbrook West,36,1120.0,2445.0,3000.0,1855.0,2135.0,4890.0,3730.0,1.3109919571045576,3.4,43.789053,-79.4084928,M2M
87,Niagara,82,2470.0,7395.0,7030.0,2530.0,1695.0,7795.0,4840.0,1.6105371900826446,46.6,43.6366808791,-79.412420401,M6K
88,North Riverdale,68,770.0,2140.0,1920.0,630.0,430.0,2945.0,2200.0,1.3386363636363636,-2.3,43.671995149,-79.3512604136,M4K
89,North St. James Town,74,1005.0,2990.0,2820.0,1115.0,1300.0,615.0,8590.0,0.07159487776484284,4.4,43.6696234081,-79.3752465775,M4Y
90,Oakridge,121,530.0,950.0,1515.0,980.0,1005.0,3600.0,3805.0,0.9461235216819974,2.6,43.6974081338,-79.2797083433,M1L
91,Oakwood Village,107,755.0,2315.0,3730.0,1890.0,1435.0,1600.0,3630.0,0.44077134986225897,0.7,43.6885655593,-79.4397854793,M6E
92,O'Connor-Parkview,54,830.0,2020.0,2195.0,1490.0,1550.0,4570.0,3985.0,1.1468005018820577,2.0,43.7068004906,-79.3122277655,M4B
93,Old East York,58,530.0,1350.0,1425.0,705.0,505.0,2670.0,1185.0,2.2531645569620253,1.3,43.696781271199995,-79.3354883594,M4J
94,Palmerston-Little Italy,80,1060.0,2810.0,2255.0,785.0,775.0,2650.0,3590.0,0.7381615598885793,0.6,43.6591571037,-79.41840872739999,M6G
95,Parkwoods-Donalda,45,1755.0,4135.0,4105.0,2135.0,3130.0,5365.0,7775.0,0.690032154340836,0.5,43.755033474499996,-79.3301795171,M3A
96,Pelmo Park-Humberlea,23,610.0,1655.0,1415.0,660.0,955.0,2525.0,450.0,5.611111111111111,23.1,43.7175146009,-79.52828220239999,M9M
97,Playter Estates-Danforth,67,385.0,1320.0,1400.0,435.0,310.0,1665.0,1865.0,0.8927613941018767,2.0,43.6797004697,-79.3548872857,M4K
98,Pleasant View,46,730.0,1930.0,1800.0,825.0,1510.0,4215.0,1310.0,3.217557251908397,-2.0,43.786981759,-79.33494842520001,M2J
99,Princess-Rosethorn,10,585.0,1560.0,1215.0,875.0,565.0,3290.0,595.0,5.529411764705882,-1.3,43.666050604300004,-79.5445592919,M9A
100,Regent Park,72,550.0,1655.0,1415.0,500.0,615.0,715.0,3135.0,0.22807017543859648,8.0,43.659992142200004,-79.3605088051,M5A
101,Rexdale-Kipling,4,680.0,1500.0,1115.0,560.0,875.0,2010.0,1935.0,1.0387596899224807,0.4,43.723725477200006,-79.5662284127,M9W
102,Rockcliffe-Smythe,111,900.0,2265.0,2745.0,1865.0,1925.0,5250.0,3650.0,1.4383561643835616,-0.1,43.6747904521,-79.4944204513,M6N
103,Roncesvalles,86,840.0,2130.0,2380.0,1095.0,865.0,3155.0,3660.0,0.8620218579234973,-0.5,43.646122994399995,-79.4429924472,M6R
104,Rosedale-Moore Park,98,1550.0,3915.0,2215.0,700.0,610.0,5740.0,4260.0,1.3474178403755868,1.4,43.682820425299994,-79.3796694025,M4W
105,Rouge,131,2355.0,5120.0,5145.0,3335.0,5530.0,11260.0,1805.0,6.238227146814404,1.3,43.8212012569,-79.1863434458,M1B
106,Runnymede-Bloor West Village,89,405.0,920.0,1805.0,1145.0,505.0,2945.0,865.0,3.4046242774566475,4.5,43.6592688193,-79.485708182,M6S
107,Rustic,28,340.0,1010.0,1075.0,485.0,680.0,1495.0,2160.0,0.6921296296296297,-0.1,43.7116091166,-79.4980914696,M6L
108,Scarborough Village,139,610.0,1415.0,1430.0,1025.0,1775.0,2715.0,3195.0,0.8497652582159625,0.7,43.7386518596,-79.216812619,M1M
