,Postal Code,Neighborhood,Borough,Dwelling,Income,HouseholdIncome,Latitude,Longitude
66,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
67,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
68,M1K,Kennedy Park,Scarborough,500983.0,24065.0,53260.0,43.7279292,-79.26202940000002
69,M2K,Bayview Village,North York,697021.0,32492.0,68015.0,43.7869473,-79.385975
70,M3K,Downsview East,North York,751635.0,28128.0,62635.0,43.737473200000004,-79.46476329999999
71,M3K,Downsview East,North York,751635.0,28128.0,62635.0,43.737473200000004,-79.46476329999999
72,M4K,Riverdale,East Toronto,898565.0,37297.0,65948.0,43.6795571,-79.352188
73,M4K,Riverdale,East Toronto,898565.0,37297.0,65948.0,43.6795571,-79.352188
76,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
77,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
78,M6K,Parkdale Village,West Toronto,500197.0,31915.0,54000.0,43.6368472,-79.42819140000002
79,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
80,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
81,M1L,Oakridge,Scarborough,552234.0,24539.0,56779.0,43.711111700000004,-79.2845772
82,M2L,York Mills,North York,1895594.0,41978.0,115493.0,43.7574902,-79.37471409999999
83,M2L,York Mills,North York,1895594.0,41978.0,115493.0,43.7574902,-79.37471409999999
84,M3L,Downsview West,North York,501643.0,24411.0,59669.0,43.7390146,-79.5069436
85,M4L,India Bazaar,East Toronto,752621.0,40227.0,81014.0,43.6689985,-79.31557159999998
86,M4L,India Bazaar,East Toronto,752621.0,40227.0,81014.0,43.6689985,-79.31557159999998
89,M6L,Upwood Park,North York,698545.0,25588.0,54933.0,43.713756200000006,-79.4900738
90,M6L,Upwood Park,North York,698545.0,25588.0,54933.0,43.713756200000006,-79.4900738
91,M6L,Upwood Park,North York,698545.0,25588.0,54933.0,43.713756200000006,-79.4900738
92,M9L,Humber Summit,North York,501640.0,23724.0,62899.0,43.7563033,-79.56596329999999
93,M1M,Scarborough Village West,Scarborough,621407.0,29387.0,68550.0,43.716316,-79.23947609999999
94,M1M,Scarborough Village West,Scarborough,621407.0,29387.0,68550.0,43.716316,-79.23947609999999
95,M1M,Scarborough Village West,Scarborough,621407.0,29387.0,68550.0,43.716316,-79.23947609999999
96,M2M,Willowdale,North York,899044.0,23382.0,60440.0,43.789053,-79.40849279999999
97,M2M,Willowdale,North York,899044.0,23382.0,60440.0,43.789053,-79.40849279999999
98,M3M,Downsview Central,North York,599286.0,26304.0,55099.0,43.7284964,-79.49569740000001
99,M4M,Studio District,East Toronto,699144.0,35272.0,75412.0,43.6595255,-79.340923
100,M5M,Lawrence Manor East,North York,1392931.0,56714.0,136982.0,43.7332825,-79.4197497
101,M5M,Lawrence Manor East,North York,1392931.0,56714.0,136982.0,43.7332825,-79.4197497
102,M6M,Silverthorn,York,501052.0,25307.0,52730.0,43.6911158,-79.47601329999999
103,M6M,Silverthorn,York,501052.0,25307.0,52730.0,43.6911158,-79.47601329999999
104,M6M,Silverthorn,York,501052.0,25307.0,52730.0,43.6911158,-79.47601329999999
105,M6M,Silverthorn,York,501052.0,25307.0,52730.0,43.6911158,-79.47601329999999
106,M9M,Humberlea,North York,501352.0,24960.0,61884.0,43.7247659,-79.53224240000002
107,M9M,Humberlea,North York,501352.0,24960.0,61884.0,43.7247659,-79.53224240000002
108,M1N,Cliffside West,Scarborough,649221.0,35690.0,73256.0,43.692657000000004,-79.2648481
109,M1N,Cliffside West,Scarborough,649221.0,35690.0,73256.0,43.692657000000004,-79.2648481
110,M2N,Willowdale South,North York,501170.0,28236.0,62919.0,43.7701199,-79.40849279999999
